UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,COSTT4_A,TUITFTE,PCIP01,PCIP11,PCIP15,PCIP43,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52
174127,236500,2365,Minneapolis College of Art and Design,Minneapolis,MN,55404,MCAD.EDU,mcad.edu/tuition-calculator,44887,20574,0,0,0,0,0,0,0.0672,0,0.8319,0,0.0168
174136,236200,2362,Minneapolis Community and Technical College,Minneapolis,MN,55403-1779,www.minneapolis.edu,www.mnscu.edu/admissions/calculator/minneapolis.html?_ga=1.5994996.617915177.1439405948,17597,2264,0,0.0912,0.0056,0.0356,0.005,0.0119,0.0125,0.0125,0.0862,0.3123,0.0818
474881,1091302,10913,Minneapolis Media Institute,Edina,MN,55435,www.mediainstitute.edu/minneapolis-media-institute,https://madisonmedia.studentaidcalculator.com/survey.aspx,27427,17044,0,0,0,0,0,0,0,0,0.0784,0,0
451769,464606,4646,Minnesota School of Business-Blaine,Blaine,MN,55449,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,24174,21464,0,0.0917,0,0.0092,0,0,0,0,0,0.4954,0.3486
407285,464601,4646,Minnesota School of Business-Brooklyn Center,Brooklyn Center,MN,55430,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,27495,24775,0,0.0714,0,0.1905,0,0,0,0,0,0.2619,0.3333
456782,464608,4646,Minnesota School of Business-Elk River,Elk River,MN,55330,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,25027,20650,0,0.119,0,0.1071,0,0,0,0,0,0.4167,0.3095
458742,464609,4646,Minnesota School of Business-Lakeville,Lakeville,MN,55044,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,24430,27997,0,0.1343,0,0.0448,0,0,0,0,0,0.5224,0.2836
455585,464607,4646,Minnesota School of Business-Moorhead,Moorhead,MN,56560,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,25656,17379,0,0.0364,0,0,0,0,0,0,0,0.7091,0.2182
442578,464602,4646,Minnesota School of Business-Plymouth,Plymouth,MN,55447,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,24021,24514,0,0.0189,0,0.0189,0,0,0,0,0,0.5849,0.3019
174279,464600,4646,Minnesota School of Business-Richfield,Richfield,MN,55423,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,25867,22148,0,0.1265,0,0.0449,0,0,0,0,0.0204,0.2571,0.4163
447670,464605,4646,Minnesota School of Business-Rochester,Rochester,MN,55901,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,25600,22659,0,0.1778,0,0.0667,0,0,0,0,0,0.4111,0.3
445920,464604,4646,Minnesota School of Business-Waite Park,Waite Park,MN,56387,www.msbcollege.edu/,www.msbcollege.edu/MSBNetPriceCalculator/npcalc.htm,25634,23524,0,0.1313,0,0.0808,0,0,0,0,0.0202,0.5253,0.2121
480170,2238101,22381,Minnesota School of Cosmetology-Plymouth Campus,Plymouth,MN,55447,www.msccollege.edu/,www.msccollege.edu/tuition/student-loan-calculator,NULL,14876,0,0,0,0,0,0,0,0,0,0,0
174190,2238100,22381,Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,55125,www.msccollege.edu,www.msccollege.edu/MSCNetPriceCalculator/npcalc.htm,NULL,12775,0,0,0,0,0,0,0,0,0,0,0
